wkt_geom,HEIGHT,VEL,D20190106,D20190207,D20190327,D20190412,D20190428,D20190510,D20190610,D20190626,D20190712,D20190728,D20190814,D20190829,D20190927,D20191009,D20191025,D20191117,D20191203,D20200113,D20200205,D20200221,D20200324,D20200409,D20200425,D20200511,D20200527,D20200612,D20200628,D20200714,D20200730,D20200815,D20200916,D20201011,D20201018,D20201103,D20201119,D20201205,D20201221,,,,,,,,,,,,,,,
MultiPoint ((114.17488745532028815 22.56679692886869759)),6.99,3,0,-0.6,-16,9.4,-15.9,-6.2,-1.5,-2.9,-18.5,-19,-12.9,-12.7,5.8,-0.2,7.7,-11.4,4.9,8.2,5.2,-1,11.2,-0.6,1.1,6,-0.7,8.9,3,0.5,20.1,-0.4,-6,14.8,1.2,-0.8,3.5,3,-1.4,,,,,,,,,,,,,,,
MultiPoint ((114.1748830343320833 22.56679772059155198)),6.04,2.8,0,-0.4,-14.4,10.1,-14.8,-6.1,-0.4,-2.9,-17.7,-19.7,-13,-10.7,6,-1.4,8.1,-11.9,5,8.3,6.4,-0.6,11.1,-0.6,1.2,6.1,-1.4,9,3.4,0.9,19.9,-0.5,-6.2,15.7,0,-1.4,3.5,2.8,-1.5,,,,,,,,,,,,,,,
MultiPoint ((114.17486579477581188 22.56680078018671765)),5.9,4.8,0,0.8,-14.5,7.2,-9.1,-5.9,2,-1.5,-15.1,-18.6,-12.2,-7.4,7,8.1,16.9,-2.8,2.6,12.6,9.3,4.2,13,-1,4.5,7.3,0,9.5,3.4,2.4,19.8,0.3,-6.1,15.5,0.5,-0.9,5,4.8,-0.7,,,,,,,,,,,,,,,
MultiPoint ((114.17480034065623329 22.56714774869158546)),12.04,10,0,-1,-15.5,12.3,-13.6,-3.3,2.7,0.9,-8.8,-17.1,-9.3,-6.4,11.9,7.1,15.2,-8.6,10.1,16.7,11.5,-2.3,15.4,8.1,4.5,14.3,5.4,18.4,14,10.1,29.1,11.3,5.5,29.7,8.2,8.2,13.1,10,5.6,,,,,,,,,,,,,,,
MultiPoint ((114.17485350071025607 22.56680296481998127)),5.69,-4.1,0,-6.2,-18.4,11.1,-17.5,-12.1,-4.5,-8.7,-21.6,-31.2,-20.8,-16.1,-3.3,-3.3,-0.2,-14.3,-1.6,4.2,2.3,-4.6,3.2,-4.3,-3.3,1,-1.5,2.6,-4.8,-4.9,10.9,-6.1,-13.7,6.6,-5.4,-8.6,-4.5,-4.1,-9.1,,,,,,,,,,,,,,,
MultiPoint ((114.17479240761983306 22.56714916175693375)),11.24,11.5,0,-1,-15.1,13.2,-12.6,-3,4.1,2.3,-10.1,-14.8,-7.7,-6.7,12.7,7.1,15.5,-6.5,12.7,12.2,12.5,-2.1,16.9,9,8,15.9,7.9,19.7,14.5,11.9,30.9,12.6,6.9,31.8,11.3,9.8,14.5,11.5,7,,,,,,,,,,,,,,,
MultiPoint ((114.17511016594281159 22.56896401366537219)),-0.63,6.2,0,9.3,-0.2,23.8,-4.6,0.3,8.7,5.9,-2.2,-15.6,-4.8,-6.9,14.9,12.4,15.4,-2.7,7.1,8.3,4.3,4,-1.1,5.1,6.5,7,4.4,9.4,8.5,0,23.1,1.5,0.8,21,5.2,0.2,7.5,6.2,0.7,,,,,,,,,,,,,,,
MultiPoint ((114.17510146203603938 22.56894790202747458)),-0.23,-8.9,0,-3.1,-9.2,9.2,-20.1,-10.3,-5.1,-7.9,-14.3,-27.9,-15.9,-20.9,-0.1,-0.6,4.2,-18.8,-5.7,2.8,-3.7,-11,-1,-9.9,-9.3,-6.7,-9.4,-4.3,-6.9,-13.7,11.7,-12.6,-12.7,9,-9.1,-13.7,-8.3,-8.9,-12.9,,,,,,,,,,,,,,,
MultiPoint ((114.17479665981943526 22.56679538874064406)),6.44,1.5,0,0.5,-13.6,13.2,-13.6,-4.2,-1.7,-3.7,-16.7,-20.5,-14,-10.7,4.8,-1.5,8.7,-15.1,4.7,7.1,5.6,0.9,10.7,3.1,0.3,3.3,1.4,11.6,3.3,2.1,22.1,-4.1,-7.3,16.8,-0.5,0.3,4.2,1.5,-2.2,,,,,,,,,,,,,,,
MultiPoint ((114.17478963276097659 22.56679664152803255)),5.93,2.3,0,4.5,-12.8,11.7,-14.4,-5.9,-2.4,-2.6,-18.4,-20.1,-14.3,-11.4,5.5,-0.2,6.9,-13.5,5.7,7.9,4.9,0.8,12.6,1.5,-2.2,4.3,2.8,9.6,1.9,1.3,23.1,-4.8,-4.9,18.6,-0.1,0.4,2.7,2.3,-3.8,,,,,,,,,,,,,,,
